,Date,Rate,reviews
0,2018年12月7日,1,4020 魚完全沒幫住，這魚是來亂的嗎？是要怎樣玩啊？
1,2018年12月14日,4,"為何又連不上FB,每次寄邀請都沒有聯繫到好友，麻煩一下，是什麼問題呢？"
2,2018年12月26日,1,4053不能玩。進去玩一次就跳出來了，騙愛心嗎？
3,2018年12月22日,1,請問4049關！沒辦法過關吧，步數少，妨礙也多！
4,2018年12月14日,3,看……3999又卡關東西又下不來，又不會自動更新，真是他的草枝擺……
5,2018年12月7日,3,遊戲有bug，1993過關要件為清除果凍及掉落2🍒，已達到要件，但介面上確顯示還有1🍒未掉落，糖果中也沒有🍒.......😵
6,2018年12月21日,4,為什麼這次更新後我的道具又全部不見了，已經不知道是第幾次了，是想逼走玩家嗎？
7,2018年12月13日,3,I can't connect with my Facebook friends. I'm sure that I have login Facebook on candy crush.It went wrong this night.
8,2018年12月19日,1,設計4005嗰個，你自己玩下先🤔傻的嗎❓
9,2018年12月25日,5,遇到相當難的4162，我舉白旗投降了!
10,2018年12月18日,2,4003關，分數太高，用盡法實都過不到，請改善。
11,2018年12月25日,4,請編輯們盡快更新4131關卡？thanks！
12,2018年12月15日,1,3995点能樣玩呀😡你教我玩
13,2018年12月12日,3,4045關卡，難度也太高了吧！
14,2018年12月25日,2,4005用手機根本冇可能過關，步數少得太離譜，即是叫人罷玩嗎？
15,2018年12月16日,1,4042很難過關ㄚ，怎麼過
16,2018年12月18日,5,已經過到3650努力中
17,2018年12月24日,1,什麼爛東西，要過關就當機，老是當機，當屁啊當當當
18,2018年12月17日,4,"整個candy系列也好好玩，但問題就是 king出品所有游戲也強制關閉了""自動關閉屏幕""功能。就是說當玩游戲途中睡著了，或走開做其他事，忘了關閉屏幕，游戲就會一直亮著，這樣耗掉很多電，而且手機也會發熱，對手機做成很大傷害，拜托盡量改善吧。"
19,2018年12月26日,1,#3860 hard to pass as not enough moves
20,2018年12月21日,1,3944 甚麼設計 過不了 ，太快了
21,2018年12月23日,4,4083很難過關！請再放寬標準^_^
22,2018年12月14日,3,爬完lucky beans 之後卻沒有得到選擇到的獎勵
23,2018年12月26日,1,"更換手機後為何工具、命都會不見,不是都掛在FB內嗎？要如果保留著這些呢？"
24,2018年12月5日,1,一直不能看影片拿獎勵 一直不能看影片拿獎勵 一直不能看影片拿獎勵 爛透了
25,2018年12月21日,1,為什麼寶物會忽然全部都不見存了很久，叫人家要怎麼玩
26,2018年12月19日,1,剛剛更新我的42顆彩色球怎麼歸零 我原有道具都不見
27,2018年12月23日,5,非常好玩，也有許多活動，之中也帶有挑戰性，是個不錯的遊戲
28,2018年12月20日,1,4014步數少，怎麼過！！
29,2018年12月21日,2,4010已經過關了，真不容易
30,2018年12月11日,2,4067怎麼攪的，快快修正
31,2018年12月6日,2,家用電惱不能過關，停留很久了，唔該盡快開關，謝謝
32,2018年12月20日,1,４１１７怎麼玩啊怎麼都沒牌
33,2018年12月17日,5,真的非常非常好玩 超級推薦的！
34,2018年12月23日,1,"最近都連不上fb,越來越不好玩"
35,2018年12月6日,4,最近遊戲廣告按下去就當機
36,2018年12月6日,5,糖果傳奇關卡到幾關
37,2018年12月17日,4,4138過吾到
38,2018年12月23日,5,A very good game for you to use a mobile phone to kill time.
39,2018年12月7日,1,新關卡新關卡，更新很慢，效率差~
40,2018年12月25日,1,一個没有好評的遊戲
41,2018年12月19日,2,是怎樣3694關這關這麼難過關，玩到都快氣爆了。
42,2018年12月12日,1,更新後除咗關卡照舊但其他嘢全部唔見晒！請解釋！！！！！
43,2018年12月19日,2,關卡4121是笨蛋嗎？又跑不出餅干
44,2018年12月11日,2,廣告太多！ 已太嚴重了
45,2018年12月15日,5,就是可以中文化嗎？
46,2018年12月18日,3,廣告太多讓人玩不下去
47,2018年12月21日,2,請問有中文版嗎 去哪裡下載
48,2018年12月11日,3,3967關一星期過不了關真的太……爛
49,2018年12月25日,1,為什麼換個手機所有的道具都不見了？關卡正常 道具連一個都不剩😡😡😡
50,2018年12月22日,4,請幫我更新FB的遊戲紀錄，我要重新玩
51,2018年12月9日,3,為什麼一更新，所有的魔法道具全數歸零
52,2018年12月11日,1,4059不可能過關
53,2018年12月13日,5,4009不會玩
54,2018年12月13日,4,還不錯玩
55,2018年12月6日,1,3931改善一下
56,2018年12月23日,1,給的移動次數根本難玩
57,2018年12月15日,5,不錯玩 久沒玩 下載回來
58,2018年12月25日,2,4034是什麼爛關
59,2018年12月24日,2,4034又是個爛關
60,2018年12月25日,3,我想問背包裹道具，點會大部分消失?
61,2018年12月12日,1,別傻了!!!!!系統讓你過，你才能過。
62,2018年12月11日,1,"Remove all the advertisements, please!"
63,2018年12月10日,1,廣告多到不像樣，比以前多很多!!!
64,2018年12月22日,5,遊戲好玩，但為何換了手機等級就從零開始呢？
65,2018年12月17日,5,太棒了!
66,2018年12月25日,4,關關難過，關關過~#4205~過啦
67,2018年12月25日,2,194關，太難了，我用了好多道具，都是過唔到關，有無搞錯，太離譜了。😤😤😤😡😡😡
68,2018年12月22日,5,呵呵！！真的很不錯
69,2018年12月14日,4,打發時間還不錯
70,2018年12月21日,5,好打發時間的遊戲
71,2018年12月22日,5,so much fun tonight
72,2018年12月9日,5,4003 has bug
73,2018年12月23日,4,可以動動腦的遊戲
74,2018年12月18日,5,益智，挑戰關卡十分有趣
75,2018年12月17日,3,贈品多一點點，會更好
76,2018年12月14日,1,Ok啦！
77,2018年12月5日,5,很好打發時間
78,2018年12月6日,5,很棒的動腦遊戲
79,2018年12月23日,1,4045？分數不會太高嗎？👹👹👹
80,2018年12月9日,1,要等時間，又要等很久，容易失敗
81,2018年12月9日,5,還不錯玩
82,2018年12月11日,5,打發時間不錯
83,2018年12月10日,5,看到好想吃
84,2018年12月12日,5,不錯覺得喜歡
85,2018年12月25日,5,👍👍
86,2018年12月25日,5,非常好玩的遊戲
87,2018年12月16日,1,Too much advertisement
88,2018年12月14日,5,永遠的經典遊戲
89,2018年12月25日,5,益智遊戲
90,2018年12月26日,5,讚 好玩欸
91,2018年12月21日,5,殺時間不錯
92,2018年12月12日,2,更新後，太多廣告
93,2018年12月21日,3,點完lucky beans都拿不到獎勵...= =
94,2018年12月14日,5,好不容易超越4000😀😀😀
95,2018年12月22日,1,3832可以告訴我，該如何解嗎，，，，有點想刪掉了
96,2018年12月21日,5,Good!
97,2018年12月19日,5,打發時間，讚！
98,2018年12月22日,5,Good game.
99,2018年12月25日,3,獎賞
100,2018年12月21日,3,好消磨時間。
101,2018年12月15日,5,Pretty good :)
102,2018年12月21日,1,爛透
103,2018年12月11日,4,Very good
104,2018年12月6日,5,Good game
105,2018年12月24日,5,玩好久了，很喜歡。
106,2018年12月6日,3,3931怎麼過？？？？？
107,2018年12月13日,1,3907怎麼過關 爛………… …………………………
108,2018年12月19日,4,還可以
109,2018年12月18日,5,一起玩吧
110,2018年12月8日,4,還可以
111,2018年12月7日,5,Always crush
112,2018年12月13日,5,Fun game
113,2018年12月14日,5,good game
114,2018年12月13日,5,很好玩
115,2018年12月18日,5,還可以
116,2018年12月18日,5,很好玩啊
117,2018年12月8日,5,太好玩了
118,2018年12月22日,4,Good game
119,2018年12月24日,5,非常好玩
120,2018年12月25日,5,會上癮
121,2018年12月25日,5,fantastic game
122,2018年12月13日,4,NO Comments
123,2018年12月22日,5,很好玩
124,2018年12月25日,5,Very Good
125,2018年12月20日,5,好玩真的好玩
126,2018年12月12日,5,同上
127,2018年12月5日,5,Good
128,2018年12月19日,1,用咭買了23元但收不到金幣😡😡😡😡😡😡
129,2018年12月23日,4,Good
130,2018年12月7日,4,好玩。
131,2018年12月10日,5,Great
132,2018年12月11日,5,好玩
133,2018年12月10日,5,good
134,2018年12月11日,5,好玩
135,2018年12月13日,5,👍
136,2018年12月22日,5,fun
137,2018年12月10日,5,好玩
138,2018年12月8日,5,很棒
139,2018年12月11日,5,好玩
140,2018年12月13日,5,好玩
141,2018年12月10日,5,保持
142,2018年12月6日,5,好
143,2018年12月13日,5,Good
144,2018年12月14日,5,good
145,2018年12月15日,5,Funny
146,2018年12月18日,4,好玩
147,2018年12月15日,5,好
148,2018年12月17日,5,好
149,2018年12月18日,5,Good
150,2018年12月18日,5,好玩
151,2018年12月18日,5,Ok
152,2018年12月19日,5,棒
153,2018年12月21日,5,不錯
154,2018年12月22日,5,good
155,2018年12月11日,5,Good
156,2018年12月21日,5,good
157,2018年12月25日,5,good
158,2018年12月23日,5,OK
159,2018年12月6日,5,。。。。。
160,2018年11月30日,1,玩一局跑出三個廣告連續三局 煩不煩
161,2018年11月28日,3,有一些關卡設計的非常非常的爛例如40 26 關
162,2018年11月27日,2,因為我唔想用fb account玩 一按錯制就去返fb畫面
163,2018年11月24日,1,為何把好不容易存的寶物歸零，是怕過關太容易嗎？請把寶物還給我，不然就刪除不玩了！
164,2018年12月24日,3,為什麼我集的10個炸彈跟其他的都不見了😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡
165,2018年12月1日,1,更新完後從3000多関掉到200多，請幫忙查詢，這樣我辛苦拼到3000的關卡不就白費了，還有之前中文版怎麼會變成英文版
166,2018年11月30日,2,2600關起每關用道具了 還不能過關越來越難玩，電腦更新版也不好玩，玩遊戲是要排解壓力怎設計的讓人越玩越生氣呢？
167,2018年11月21日,2,今天更新過後怎麼都停留在第10關了拜託趕快幫我恢復正常能夠可以玩謝謝
